生理性別,年紀,Facebook,Instagram,LINE,Discord,TikTok,Dcard,平均每日社群軟體使用時間,我更偏好使用什麼軟體「訊息他人」？,我更偏好使用什麼軟體「聊天」？,我更偏好使用什麼軟體「發布貼文」？,我更偏好使用什麼軟體「分享心情」？,我更偏好使用什麼軟體「消遣時間」？,我更偏好使用什麼軟體「得知社會新聞」？,我日常的資訊來源多數都來自什麼社交軟體？,我認為此種社交軟體更容易認識新朋友,我認為此種社交軟體更能容易加深與朋友間的關係,綜合來說我最喜歡什麼社交軟體？,對於使用社交軟體之感受程度 [相較於面對面我更喜歡用社交軟體與他人聊天],對於使用社交軟體之感受程度 [相較於面對面使用社交軟體聊天更讓我覺得自在],對於使用社交軟體之感受程度 [相較於面對面我更喜歡用社交軟體與人交流],對於使用社交軟體之感受程度 [相較於面對面使用社交軟體與人交流我比較不感到緊張],交流,對於使用社交軟體之感受程度 [使用社交軟體更容易與他人變熟],對於使用社交軟體之感受程度 [使用社交軟體使我更願意分享私事],對於使用社交軟體之感受程度 [當我快樂時我會用訊息跟最好的朋友分享],對於使用社交軟體之感受程度 [當我難過時我會用訊息跟最好的朋友傾訴],分享慾,對於使用社交軟體之感受程度 [此題請填4，否則問卷無效],對於使用社交軟體之感受程度 [我認為我在網路上的人際關係比現實中好],對於使用社交軟體之感受程度 [我認為相較於現實生活我在網路上更能處理好我的人際關係],對於使用社交軟體之感受程度 [如果可以面對面我不會選擇使用社交軟體],人際交流選擇,對於使用社交軟體之感受程度 [我喜歡使用社交軟體],對於使用社交軟體之感受程度 [我認爲社交軟體對我的人際關係造成負面的影響],對於使用社交軟體之感受程度 [我認為社交軟體對我的人際關係有很大的幫助],對於使用社交軟體之感受程度 [我認為社交軟體減少了人與人之間的互動],認同度,社交軟體附帶之影響 [我非常在意PO文的按讚數],社交軟體附帶之影響 [我會因為按讚數而感到焦慮],社交軟體附帶之影響 [PO文後我會反覆確認瀏覽數],社交軟體附帶之影響 [我希望我的貼文有很多人按讚],社交軟體附帶之影響 [我發文是因為想要分享],社交軟體附帶之影響 [我發文只是想要紀錄生活],社交軟體附帶之影響 [與其與他人當面分享我更喜歡透過社交媒體分享],社交軟體附帶之影響 [社交軟體減少了人與人之間面對面交流的機會],社交軟體附帶之影響 [我覺得人與人之間的關係不會受到社交媒體影響],社交軟體綁架程度,社會關係感受 [我時常感到寂寞],社會關係感受 [我有被遺忘的感覺],社會關係感受 [我覺得沒有人能真正理解我],社會關係感受 [覺得身邊的人讓我感到陌生],孤獨感,社會關係感受 [我很滿意目前的現實人際關係],社會關係感受 [比起現實生活，網路上的我更有存在感],社會關係感受 [社交軟體就像我的第二個家],社會關係感受 [我認為我在社交軟體上比在現實生活中還受到重視],社會關係感受 [我很滿意我目前網路上的人際關係],滿意度
女性,21,3,5,3,0,0,1,7,Instagram,LINE,Instagram,Instagram,Instagram,其他,Instagram,Instagram,Instagram,Instagram,3,3,3,4,13,4,4,4,4,16,4,2,2,2,2,3,2,3,4,0,1,1,1,1,4,4,4,4,2,-6,4,4,4,3,15,3,3,4,3,3,10
女性,19,3,1,2,1,1,1,5,LINE,Facebook/message,Instagram,Facebook/message,Facebook/message,LINE,LINE,Instagram,Facebook/message,Facebook/message,2,4,2,4,12,4,4,4,2,14,4,2,2,3,1,3,2,4,4,1,4,2,4,3,4,3,3,3,1,5,2,2,2,2,8,2,2,2,2,3,7
女性,19,5,5,1,1,0,0,7,LINE,Instagram,Instagram,其他,Instagram,其他,Instagram,其他,Facebook/message,Instagram,5,5,5,4,19,3,4,2,2,11,4,4,4,1,7,5,1,4,3,5,2,2,1,1,2,5,5,2,5,-3,3,2,3,3,11,4,2,1,1,4,4
男性,19,4,2,2,5,0,1,5,Instagram,Instagram,Instagram,Instagram,Facebook/message,Facebook/message,Facebook/message,Discord,Discord,Facebook/message,3,3,3,3,12,4,1,5,5,15,4,3,5,5,3,5,1,5,3,6,1,1,1,1,4,4,1,4,1,-8,4,4,2,1,11,5,2,1,1,3,2
女性,22,2,3,3,0,0,1,5,Instagram,LINE,Instagram,Instagram,Instagram,其他,其他,Instagram,LINE,Instagram,3,4,3,4,14,3,3,3,2,11,4,2,2,2,2,3,2,3,2,2,3,3,4,3,4,4,4,3,3,3,3,1,3,3,10,3,3,3,2,3,8
女性,20,3,5,3,0,0,2,7,Instagram,LINE,Instagram,Instagram,Instagram,其他,Instagram,Instagram,LINE,Instagram,3,4,2,2,11,3,2,4,4,13,4,4,3,3,4,5,2,3,1,5,4,3,3,4,5,5,3,2,4,1,5,3,4,2,14,3,4,4,4,3,12
男性,22,1,2,2,1,0,0,1,LINE,LINE,Instagram,Instagram,Instagram,LINE,LINE,Instagram,Instagram,Instagram,1,2,1,3,7,4,3,4,4,15,4,2,2,2,2,3,3,3,4,-1,2,1,1,1,3,4,2,2,3,-5,2,2,2,2,8,5,2,2,2,4,5
男性,18,1,5,1,0,0,1,7,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,1,1,1,1,4,1,1,5,5,12,4,1,1,4,-2,4,1,2,3,2,2,2,3,3,4,4,1,2,3,-2,3,5,2,1,11,5,1,3,1,4,4
女性,20,2,5,5,0,0,2,5,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,其他,Instagram,LINE,Instagram,2,4,2,2,10,4,4,1,2,11,4,4,2,3,3,5,2,3,4,2,4,2,5,5,4,4,2,2,1,7,2,4,2,2,10,5,2,4,2,4,7
女性,19,1,3,5,0,0,1,3,LINE,LINE,Instagram,Instagram,Instagram,LINE,Instagram,Instagram,LINE,Instagram,2,3,3,4,12,2,4,4,4,14,4,2,2,2,2,4,2,4,4,2,2,2,2,4,4,4,2,4,2,-2,3,3,2,3,11,3,2,2,2,3,6
男性,20,3,4,2,1,2,1,7,LINE,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,LINE,Instagram,2,4,3,5,14,4,2,4,4,14,4,3,4,5,2,4,2,3,4,1,3,2,2,4,4,5,2,4,2,-2,3,4,2,2,11,2,1,2,2,3,6
男性,20,2,3,3,0,0,1,5,Instagram,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,LINE,Instagram,3,4,3,4,14,3,3,4,3,13,4,3,3,3,3,4,3,3,4,0,2,2,2,2,3,4,3,4,2,-2,2,2,3,3,10,3,3,3,3,3,9
女性,23,2,1,1,1,0,1,5,LINE,Instagram,Instagram,Facebook/message,其他,Facebook/message,Facebook/message,Instagram,Instagram,Facebook/message,2,2,2,4,10,2,1,4,4,11,4,1,1,4,-2,4,4,4,5,-1,2,2,2,4,5,5,3,5,1,-3,4,3,5,4,16,3,1,1,1,4,4
男性,20,1,3,1,0,0,0,3,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,4,3,2,3,12,3,4,4,4,15,4,4,3,2,5,4,2,3,4,1,4,2,4,4,3,3,3,4,2,5,4,3,4,3,14,4,3,4,3,4,10
男性,22,2,4,4,3,2,2,1,Facebook/message,Facebook/message,Facebook/message,Instagram,Instagram,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Facebook/message,5,5,5,5,20,5,5,5,5,20,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5,5,5,5,5,15
男性,19,2,4,1,0,2,0,5,Instagram,Instagram,Instagram,Instagram,TikTok,Facebook/message,Facebook/message,Instagram,Instagram,Instagram,2,3,2,3,10,4,4,4,4,16,4,3,4,2,5,4,2,4,3,3,3,3,3,3,4,4,4,3,2,3,4,4,4,4,16,2,3,4,3,3,11
男性,22,2,2,2,1,0,0,5,LINE,LINE,Instagram,Instagram,其他,Facebook/message,Facebook/message,Instagram,Instagram,Instagram,2,3,2,3,10,4,4,4,4,16,4,1,3,4,0,3,2,3,3,1,2,2,3,3,3,3,2,2,3,1,3,2,3,4,12,3,2,3,2,3,7
男性,19,2,2,2,1,2,0,3,Instagram,Instagram,Facebook/message,Instagram,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Facebook/message,3,2,3,3,11,3,4,4,2,13,4,3,4,4,3,3,3,4,4,0,2,2,2,3,4,4,3,4,2,-2,2,2,2,2,8,3,2,2,2,3,6
女性,22,1,2,1,0,0,0,3,LINE,Instagram,Instagram,Instagram,其他,Facebook/message,其他,Instagram,Instagram,Instagram,4,2,2,4,12,4,4,4,3,15,4,2,2,2,2,4,2,4,2,4,2,2,4,3,4,5,1,4,2,-3,2,2,2,2,8,4,2,2,2,3,5
女性,19,1,4,5,3,1,3,7,LINE,LINE,Instagram,Instagram,Dcard,Discord,Instagram,Instagram,LINE,LINE,5,3,2,3,13,4,3,5,4,16,4,3,5,4,4,4,3,4,5,0,3,1,1,4,5,5,3,5,3,-6,3,2,2,2,9,4,1,1,2,3,3
男性,22,2,2,3,2,0,2,5,LINE,LINE,Facebook/message,Instagram,Facebook/message,Dcard,Facebook/message,Instagram,Instagram,Instagram,3,4,4,3,14,2,3,3,3,11,4,2,2,3,1,4,3,4,3,2,2,2,2,2,2,2,2,3,3,0,3,3,2,2,10,4,2,2,2,4,6
男性,21,2,2,2,0,0,0,5,Instagram,LINE,Instagram,Instagram,Instagram,Facebook/message,Facebook/message,Instagram,LINE,Instagram,2,3,2,4,11,3,2,4,4,13,4,1,2,4,-1,3,2,3,3,1,2,2,3,3,3,4,1,3,3,-2,4,3,2,4,13,4,2,2,2,3,5
男性,22,2,2,4,1,2,0,7,LINE,LINE,Instagram,Instagram,Facebook/message,其他,Facebook/message,Instagram,LINE,LINE,2,3,2,2,9,1,4,3,2,10,4,3,1,5,-1,4,2,3,3,2,2,2,1,1,4,3,1,1,3,-4,4,3,4,2,13,2,1,1,1,3,4
男性,18,1,2,1,2,0,0,3,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,2,2,2,2,8,2,3,3,3,11,4,3,3,3,3,3,3,4,2,2,2,2,2,2,3,3,2,2,2,0,2,2,2,2,8,2,3,2,2,2,7
女性,19,1,2,1,0,0,1,3,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,2,5,3,5,15,5,2,5,5,17,4,3,3,4,2,3,1,3,4,1,3,3,2,3,4,4,3,5,3,-2,1,2,4,3,10,3,3,2,2,3,7
女性,20,1,3,1,0,0,1,5,Instagram,LINE,Instagram,Facebook/message,Instagram,其他,Facebook/message,Instagram,Instagram,Instagram,2,3,2,3,10,2,4,4,4,14,4,2,2,4,0,4,2,3,4,1,3,2,2,3,4,4,3,4,3,-2,4,4,4,2,14,3,2,3,2,3,7
女性,21,2,1,3,3,0,1,5,LINE,LINE,Instagram,Instagram,Discord,Facebook/message,Facebook/message,Discord,Discord,Discord,1,4,2,4,11,4,3,4,1,12,4,1,1,4,-2,3,5,2,3,-3,3,2,3,3,4,4,4,4,3,0,2,2,4,2,10,4,1,2,1,1,1
男性,19,1,3,1,0,0,0,3,Instagram,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,3,3,2,3,11,2,2,2,3,9,4,2,2,4,0,3,1,3,4,1,1,1,1,1,4,4,1,4,2,-9,3,2,2,3,10,3,2,1,1,3,4
女性,19,1,3,1,0,0,0,3,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,2,2,2,4,10,2,2,4,4,12,4,3,2,2,3,4,2,4,2,4,3,2,4,4,4,4,2,2,2,3,2,4,2,3,11,2,2,2,2,4,8
男性,24,3,0,2,1,0,2,5,LINE,LINE,Facebook/message,LINE,Facebook/message,Dcard,Facebook/message,Facebook/message,LINE,LINE,3,3,2,4,12,4,2,4,2,12,4,2,4,3,3,2,2,3,2,1,3,2,2,3,4,4,2,3,4,-3,3,2,2,4,11,3,2,2,2,2,5
男性,19,2,2,2,0,0,2,3,Facebook/message,LINE,Instagram,Instagram,Instagram,LINE,Facebook/message,Instagram,Instagram,LINE,2,3,2,2,9,1,1,4,4,10,4,2,2,4,0,3,3,3,5,-2,2,2,1,1,4,4,3,5,3,-7,4,5,4,3,16,4,2,2,2,2,4
男性,28,5,5,5,0,0,0,9,LINE,LINE,Instagram,Instagram,Instagram,LINE,Instagram,Instagram,LINE,Instagram,3,3,5,5,16,4,5,4,5,18,4,4,4,4,4,4,2,2,3,1,4,2,4,3,3,5,3,4,3,1,2,2,2,2,8,4,3,4,4,4,11
女性,20,1,2,1,1,0,3,5,Instagram,Instagram,Instagram,Instagram,其他,Facebook/message,其他,其他,Instagram,其他,3,4,3,4,14,3,2,4,2,11,4,2,3,3,2,4,2,3,2,3,2,2,3,3,3,4,4,2,4,1,3,3,4,3,13,4,2,3,2,4,7
女性,19,2,4,3,1,0,2,7,LINE,LINE,Instagram,Instagram,Instagram,Facebook/message,Instagram,Instagram,Instagram,Instagram,2,3,3,4,12,3,2,4,3,12,4,1,1,4,-2,3,1,3,4,1,4,4,4,4,4,4,2,4,1,5,4,4,4,3,15,4,2,2,2,3,5
女性,21,1,2,3,0,0,2,7,LINE,LINE,Instagram,LINE,Instagram,Dcard,Instagram,Instagram,LINE,LINE,3,4,4,5,16,4,2,5,5,16,4,1,2,5,-2,4,2,3,2,3,3,2,2,3,5,5,4,2,1,1,2,1,1,2,6,4,4,2,4,3,9
女性,20,1,1,2,0,0,2,1,LINE,Instagram,Facebook/message,Instagram,Dcard,Dcard,Instagram,Dcard,Instagram,Dcard,4,4,4,4,16,4,4,5,3,16,4,4,4,3,5,3,3,2,3,-1,4,4,3,4,3,4,3,4,4,3,2,2,4,3,11,2,2,3,3,3,9
男性,19,2,3,3,0,0,1,3,LINE,LINE,Instagram,Instagram,Instagram,Facebook/message,Facebook/message,Instagram,Instagram,Instagram,4,4,3,4,15,4,4,4,3,15,4,3,3,2,4,4,2,4,3,3,4,3,4,4,3,4,4,4,4,4,3,3,4,3,13,4,3,3,3,3,8
女性,19,2,2,1,0,0,1,7,LINE,Instagram,Instagram,Instagram,Instagram,LINE,Facebook/message,Instagram,Instagram,Instagram,4,4,4,4,16,4,4,3,3,14,4,2,3,3,2,4,3,4,4,1,3,3,4,3,4,4,4,4,2,3,4,4,4,4,16,3,2,2,2,3,6
男性,25,2,2,2,0,0,2,5,Instagram,Instagram,Instagram,Instagram,其他,其他,其他,Facebook/message,Instagram,Instagram,3,2,4,4,13,3,3,5,3,14,4,2,3,4,1,3,3,3,4,-1,5,5,5,5,5,4,5,3,1,12,5,5,5,5,20,3,4,4,2,3,10
男性,20,1,2,2,0,2,0,3,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,3,2,3,4,12,4,2,4,4,14,4,2,2,4,0,3,2,4,4,1,4,3,2,2,4,4,4,4,2,1,2,2,2,3,9,4,2,3,2,4,7
男性,21,1,2,1,0,0,1,3,LINE,LINE,Instagram,Instagram,Instagram,Dcard,Dcard,Instagram,LINE,Instagram,4,4,4,5,17,4,5,5,3,17,4,3,4,2,5,4,2,4,3,3,2,2,2,3,4,4,4,3,4,-2,3,3,2,2,10,4,3,3,2,4,8
男性,20,1,1,2,0,0,1,1,LINE,LINE,Instagram,Instagram,其他,其他,其他,Instagram,Instagram,Instagram,3,2,2,3,10,2,2,3,3,10,3,2,2,4,0,3,3,3,4,-1,3,3,3,3,4,3,3,4,3,1,3,3,4,3,13,3,2,2,2,2,5
女性,19,1,2,1,0,0,1,1,Instagram,LINE,Instagram,Instagram,其他,Instagram,Instagram,Discord,Instagram,Instagram,3,4,3,5,15,2,4,4,2,12,4,4,4,3,5,3,2,3,5,-1,1,2,3,1,4,5,2,5,1,-6,3,3,4,3,13,3,3,2,2,3,7
女性,18,1,3,2,0,2,1,7,LINE,LINE,Instagram,其他,TikTok,Instagram,Instagram,Instagram,LINE,Instagram,4,4,4,4,16,4,4,4,4,16,4,5,4,4,5,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4,4,4,4,4,12
男性,22,1,3,3,1,1,2,5,LINE,LINE,Instagram,Instagram,其他,Instagram,Instagram,Instagram,LINE,Instagram,5,5,5,5,20,4,3,5,5,17,3,5,5,5,5,5,5,5,5,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4,4,4,4,4,12
女性,19,4,0,1,0,0,0,3,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Instagram,Instagram,Facebook/message,4,5,3,4,16,4,4,5,4,17,4,2,2,4,0,4,2,4,4,2,1,1,1,1,5,5,1,3,1,-9,3,3,4,4,14,2,2,2,2,3,7
女性,23,1,2,2,0,0,2,3,LINE,Instagram,Instagram,其他,其他,Dcard,Dcard,Instagram,LINE,其他,3,3,2,3,11,4,3,5,4,16,4,2,3,2,3,4,2,4,4,2,4,4,5,5,5,5,5,2,2,9,3,2,2,2,9,4,2,4,2,3,7
女性,19,0,4,5,0,0,0,5,LINE,LINE,Instagram,LINE,Instagram,LINE,LINE,Instagram,LINE,LINE,3,3,3,4,13,4,4,4,3,15,5,3,3,3,3,3,4,3,4,-2,1,1,1,1,4,4,3,4,2,-7,2,2,2,2,8,4,2,2,2,4,6
女性,19,1,3,3,1,4,1,5,LINE,LINE,Instagram,Instagram,TikTok,Instagram,Instagram,Instagram,Instagram,Instagram,3,3,3,3,12,3,3,3,3,12,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,3,3,3,3,3,9
女性,18,1,3,3,1,2,1,5,LINE,Instagram,Instagram,Instagram,TikTok,Facebook/message,Instagram,Instagram,LINE,Instagram,3,3,3,4,13,3,2,5,4,14,4,2,2,3,1,4,2,3,3,2,3,2,2,3,4,4,2,2,4,-2,2,2,2,2,8,3,2,3,2,3,7
男性,28,0,0,4,0,0,0,3,LINE,LINE,Facebook/message,其他,其他,其他,LINE,Instagram,LINE,LINE,2,3,2,3,10,2,1,2,2,7,3,2,2,1,3,2,3,2,3,-2,2,2,3,2,3,3,3,3,3,0,3,3,2,2,10,3,2,2,2,2,5
男性,19,3,3,2,5,0,1,9,Facebook/message,Instagram,Instagram,Instagram,Instagram,Facebook/message,Instagram,Instagram,Discord,Instagram,5,5,5,5,20,5,3,4,3,15,4,4,4,2,6,5,2,4,5,2,2,2,3,1,4,4,4,5,2,-3,3,3,3,3,12,4,4,4,3,4,11
男性,19,1,3,3,1,1,1,5,Instagram,Instagram,Instagram,其他,Instagram,Dcard,Dcard,Instagram,Instagram,Instagram,3,3,3,2,11,4,4,2,4,14,4,2,2,2,2,4,4,2,3,-1,4,3,4,4,2,4,3,2,4,6,4,3,2,4,13,3,4,3,4,3,11
男性,19,1,2,2,1,1,1,1,LINE,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,LINE,3,3,3,3,12,3,3,3,3,12,3,3,3,3,3,3,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,2,2,2,2,6
女性,19,1,2,1,0,0,1,1,LINE,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,2,3,3,3,11,2,2,4,4,12,4,2,2,2,2,3,2,4,4,1,3,2,4,4,4,4,3,3,4,1,2,2,2,3,9,4,2,2,2,4,6
女性,19,1,2,1,0,0,1,3,Instagram,LINE,Instagram,Instagram,Instagram,其他,Instagram,Instagram,LINE,Instagram,3,3,2,3,11,2,2,4,4,12,4,2,2,4,0,4,2,3,5,0,3,3,4,2,2,4,4,4,2,4,1,2,1,1,5,4,2,1,1,4,4
女性,24,2,1,1,0,0,0,3,LINE,LINE,Instagram,Instagram,Facebook/message,Facebook/message,Facebook/message,Instagram,LINE,LINE,3,3,3,4,13,4,3,4,4,15,4,3,3,4,2,3,2,4,5,0,3,2,3,3,4,5,2,5,2,-3,3,3,2,3,11,4,3,2,2,4,7
女性,20,1,2,2,0,0,1,3,LINE,LINE,Instagram,Instagram,Instagram,Facebook/message,Instagram,Instagram,LINE,Instagram,2,3,2,2,9,4,4,5,5,18,4,2,3,2,3,4,2,3,4,1,3,2,4,5,5,4,2,4,2,1,3,3,2,2,10,4,2,3,1,3,5
女性,20,1,4,2,0,0,1,5,LINE,Instagram,Instagram,Instagram,Instagram,LINE,Instagram,Instagram,Instagram,Instagram,2,4,2,4,12,4,3,4,4,15,4,3,2,4,1,4,2,4,3,3,2,2,3,3,3,4,2,3,4,-2,3,2,4,2,11,4,2,3,2,4,7
男性,16,3,3,0,0,1,0,5,Instagram,Instagram,Instagram,Instagram,TikTok,Instagram,Instagram,Instagram,Instagram,Instagram,2,3,3,3,11,2,3,4,4,13,4,3,2,4,1,4,3,4,2,3,4,3,1,4,4,3,3,4,4,0,3,3,1,1,8,3,3,3,3,3,9
女性,19,2,4,3,1,1,1,5,LINE,Instagram,Instagram,Instagram,Instagram,Facebook/message,Instagram,其他,Instagram,Instagram,3,4,4,4,15,3,2,4,2,11,4,2,2,2,2,4,2,3,2,3,2,2,2,3,3,4,4,2,2,2,2,3,4,3,12,2,1,2,2,3,6
女性,20,3,1,1,3,4,1,5,Facebook/message,Facebook/message,Instagram,其他,Facebook/message,其他,TikTok,Discord,Discord,Discord,4,4,4,4,16,4,2,3,3,12,4,2,2,2,2,3,1,2,1,3,3,3,3,3,4,2,2,3,2,3,4,3,4,3,14,3,3,3,2,3,8
女性,20,1,2,2,1,2,1,5,LINE,Instagram,Instagram,Instagram,TikTok,TikTok,Instagram,Instagram,Instagram,Instagram,4,2,2,4,12,5,4,4,4,17,4,2,3,4,1,4,2,4,4,2,5,5,4,5,4,4,3,4,1,9,4,3,2,4,13,2,4,1,2,4,9
女性,23,5,0,4,2,0,2,9,LINE,Facebook/message,Facebook/message,其他,其他,Facebook/message,Facebook/message,其他,LINE,Facebook/message,5,5,5,5,20,4,1,4,3,12,4,2,2,3,1,4,2,3,3,2,3,2,2,2,4,4,3,4,3,-3,3,3,3,4,13,4,2,2,2,3,5
女性,19,3,2,1,0,0,0,3,Instagram,Instagram,Instagram,Instagram,Instagram,Facebook/message,Instagram,Instagram,Instagram,Instagram,4,4,4,4,16,4,4,5,4,17,4,2,2,3,1,4,2,4,4,2,2,1,3,2,4,5,4,3,3,-3,2,2,4,2,10,4,2,2,2,4,6
男性,20,1,4,1,0,0,0,3,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,其他,其他,3,3,2,3,11,2,4,4,4,14,4,2,2,4,0,3,3,3,5,-2,3,1,1,2,4,4,2,3,2,-4,3,3,3,3,12,4,3,2,2,4,7
男性,20,0,0,0,0,0,0,1,LINE,LINE,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Facebook/message,Facebook/message,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3
女性,19,2,3,3,0,0,0,5,LINE,LINE,Instagram,Instagram,Instagram,其他,其他,Instagram,Instagram,Instagram,4,4,4,4,16,2,2,4,4,12,4,2,2,1,3,3,2,2,4,-1,2,2,2,2,2,4,3,4,2,-1,2,2,2,2,8,4,1,1,1,1,0
男性,19,1,1,1,0,0,1,1,Facebook/message,Facebook/message,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,3,3,3,3,12,3,3,3,3,12,3,3,3,3,3,3,3,3,3,0,2,3,3,3,3,4,3,3,4,0,2,2,2,2,8,2,2,2,2,4,8
女性,20,1,2,2,0,0,1,3,Instagram,LINE,Instagram,Instagram,Instagram,Facebook/message,Instagram,Instagram,Instagram,Instagram,1,2,2,3,8,4,4,4,4,16,4,2,2,4,0,3,2,3,5,-1,4,4,4,4,4,4,3,5,2,4,1,1,1,1,4,5,2,2,2,3,4
女性,20,2,3,3,1,0,1,5,LINE,LINE,Instagram,Instagram,Instagram,Dcard,LINE,Instagram,LINE,LINE,4,5,4,5,18,5,5,5,5,20,4,5,5,2,8,5,2,4,2,5,2,1,3,4,5,4,4,2,2,1,3,2,4,2,11,4,2,2,1,2,3
女性,20,0,1,2,1,0,0,3,Instagram,LINE,Instagram,Instagram,其他,其他,其他,其他,LINE,其他,2,5,4,5,16,3,4,5,3,15,4,2,4,2,4,2,3,4,3,0,1,1,4,3,4,4,3,3,3,-2,5,5,3,2,15,4,2,1,2,3,4
女性,19,2,2,3,0,0,1,5,LINE,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,3,2,3,2,10,2,2,4,3,11,4,2,2,4,0,3,2,4,4,1,2,2,2,2,4,4,4,2,2,0,2,2,2,2,8,4,2,2,2,4,6
女性,22,0,3,3,0,0,1,3,LINE,LINE,Instagram,Instagram,Instagram,其他,Instagram,Instagram,Instagram,LINE,4,4,3,4,15,2,2,4,4,12,4,4,4,4,4,4,2,5,5,2,3,2,3,4,4,4,4,5,1,2,4,3,2,3,12,3,2,3,2,4,8
女性,21,2,3,1,1,4,3,5,LINE,Instagram,Instagram,Instagram,TikTok,Facebook/message,Instagram,Instagram,LINE,Instagram,4,4,4,4,16,3,3,5,5,16,4,2,3,3,2,4,2,3,3,2,5,4,4,4,4,3,3,3,3,7,4,4,3,2,13,5,3,3,3,4,8
女性,19,1,2,2,0,0,2,5,Instagram,LINE,Instagram,Instagram,Dcard,LINE,LINE,Instagram,LINE,LINE,2,3,2,4,11,2,2,4,2,10,4,3,2,4,1,4,2,4,5,1,1,1,1,2,5,5,3,5,5,-12,3,4,2,2,11,4,4,2,4,4,10
女性,20,2,4,4,4,0,1,9,Instagram,LINE,Facebook/message,Instagram,Instagram,Dcard,其他,Instagram,Instagram,Instagram,3,3,2,4,12,2,4,5,2,13,4,2,2,2,2,5,3,4,4,2,2,2,2,2,3,5,4,4,3,-3,4,4,4,3,15,4,4,4,4,4,12
男性,19,1,2,1,2,0,2,1,Instagram,Facebook/message,Instagram,Instagram,Instagram,Dcard,Dcard,Instagram,Discord,Discord,2,1,2,1,6,3,5,1,1,10,4,1,5,4,2,3,2,4,4,1,2,1,1,1,4,4,3,2,2,-4,4,4,3,5,16,2,1,1,1,1,2
男性,19,2,2,2,1,0,2,5,Instagram,LINE,Instagram,Instagram,Dcard,Dcard,Dcard,Instagram,Instagram,Instagram,4,4,4,5,17,5,5,4,4,18,4,3,3,3,3,4,4,4,4,0,2,2,2,2,4,4,3,3,3,-3,3,4,3,4,14,4,3,3,4,3,9
女性,21,3,3,2,1,0,2,7,LINE,LINE,Instagram,其他,Instagram,Facebook/message,Facebook/message,Dcard,Instagram,Instagram,2,2,2,4,10,3,4,4,1,12,4,2,3,3,2,4,1,3,1,5,4,2,2,4,4,4,4,2,1,5,2,4,3,3,12,4,2,4,2,4,8
女性,18,0,1,1,1,0,0,3,LINE,LINE,Instagram,Instagram,其他,其他,Instagram,其他,Instagram,Instagram,2,3,2,4,11,3,3,2,4,12,4,1,2,4,-1,3,2,3,2,2,1,1,4,5,4,5,1,4,1,-2,5,5,5,4,19,5,1,2,1,3,2
男性,20,1,0,2,3,0,1,1,LINE,LINE,Facebook/message,Facebook/message,Discord,其他,其他,其他,其他,Discord,3,3,3,4,13,3,3,3,3,12,4,3,3,3,3,3,3,3,5,-2,1,1,1,1,2,3,1,4,1,-5,2,2,5,4,13,3,2,1,1,3,4
女性,22,1,1,2,1,1,1,1,LINE,LINE,Instagram,LINE,其他,其他,其他,Dcard,Instagram,Discord,3,3,3,3,12,1,1,1,1,4,4,1,1,1,1,5,3,3,5,0,1,1,1,1,1,1,1,5,1,-3,4,3,3,1,11,3,1,3,3,3,7
